feature,importance
direction,29.07269448880477
amount,13.077991274664011
transdate_beh,6.953161532265374
last_phone_model_categorical,5.443449928400013
last_os_categorical,5.26181831841499
hour,5.202354338087225
docno,4.078593494430927
dayofweek,3.507280375470251
cst_dim_id,3.3518602913912874
fano_factor_login_interval,3.0004360637230056
logins_last_7_days,2.215872044347496
zscore_avg_login_interval_7d,2.078114515168525
std_login_interval_30d,1.9882520123275562
avg_login_interval_30d,1.9080155521079751
burstiness_login_interval,1.7665149853963822
login_frequency_30d,1.7486258973107247
ewm_login_interval_7d,1.7400623808851572
logins_7d_over_30d_ratio,1.6758296105279782
logins_last_30_days,1.6570157879710055
freq_change_7d_vs_mean,1.46790978382266
var_login_interval_30d,1.2939985041908506
login_frequency_7d,0.7169430404861684
monthly_os_changes,0.6209717277293351
monthly_phone_model_changes,0.17223405207630055
